,Hunt Choice,Weakest Link Choice
5bbe58e22b131d000183c317,Hunt stag,1
5e8c0ebdcd34af1040492ef8,Hunt hare,1
62d9905bbaae7f1e0113c6e6,Hunt stag,1
5dcdd7bf324a3d0a6c24b608,Hunt hare,7
5bd0d9bf25db7b0001786a5b,Hunt stag,7
63d13b2074bde4460ac2df59,Hunt hare,7
5ab983a39534ba0001c6c342,Hunt stag,7
5f481a825080c619ea3709b0,Hunt stag,7
6014213c77aab7396ca3e5a7,Hunt stag,7
5858610a7ac7900001733bb2,Hunt hare,7
65661c6448e2bdf5ad2d344d,Hunt stag,3
65088c0b395fa983448de8dd,Hunt stag,6
65652e00d1afb42ba1a55a89,Hunt stag,7
5962ceff8474920001bd266e,Hunt stag,7
5bf5ab78f35e0c000101b657,Hunt stag,4
627e9c9eeda3f513a8c6c548,Hunt stag,5
6442e3ecb13f307b6ae70217,Hunt hare,4
6150a7aff22eb4723de2341a,Hunt hare,3
61267e282a445af9eb95beae,Hunt stag,7
