,Hunt Choice,Weakest Link Choice
6519add4907624469d5f1635,Hunt stag,1
5f3e31e2769ffb267b9d1a24,Hunt hare,7
5ec446f8ec26b7323a065827,Hunt stag,7
63ec520278bcbfb9522a7c84,Hunt stag,5
63d414f95753ac660a9e09e1,Hunt stag,7
642e10f11d857b6e6bf20522,Hunt stag,7
60fe47b274576eb477b06e6d,Hunt stag,7
56ccf21905d469000d109a83,Hunt stag,4
63e5d5659b749252fc596333,Hunt stag,2
549b8ef4fdf99b4ffa5fa0c9,Hunt hare,1
5f9e612e5e10814115cc780d,Hunt stag,7
63d40dec072d08076c329bf2,Hunt stag,7
614f64af286f5a5cc8fa849d,Hunt stag,7
5e3b759740e302397f294a2d,Hunt stag,2
6313bca352b1b9dacd2446e5,Hunt stag,1
6543b1167662671a4c6be61c,Hunt stag,7
6459b8128544c7f22edba161,Hunt stag,4
61511105a75b2b13223c9517,Hunt stag,7
63316daa57747115376760da,Hunt hare,7
