,Hunt Choice,Weakest Link Choice
63d9e6b07d98353f362f023f,Hunt stag,7
63fad8b20e532757a496f7f5,Hunt stag,7
5c3fe471d5af20000171dcbc,Hunt stag,7
60ebbdd7a4f2acdb9a9769e5,Hunt stag,7
5928b05e590f0b000126edb8,Hunt stag,7
62a2832342dd3f99e7cd6822,Hunt stag,1
5cfc4af8a224000001675ec8,Hunt stag,6
585eb4cfc34844000174d807,Hunt hare,4
5e7e94f6279cb0000a027185,Hunt stag,7
61114da844c3ebcadad75deb,Hunt stag,7
636330b7f97a8198974a367f,Hunt stag,1
60fdde0a68c4749b14067099,Hunt stag,3
633a480b78c808fbce75f0e9,Hunt stag,7
63f7e098e99a7db2d59ac6ce,Hunt stag,7
5c3027ef69d7820001063974,Hunt stag,7
546ebcd9fdf99b2bc7ebd030,Hunt stag,5
581d50e882c5aa000132ce4f,Hunt hare,7
5cfe7510d987a800178eab1a,Hunt stag,7
5a79f14a8fe2dc00010593eb,Hunt stag,7
5eace152e25d6800091dd418,Hunt stag,4
