Choice,Payoff
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,0.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt hare,0.8
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt stag,1.0
Hunt hare,0.8
Hunt stag,0.0
Hunt hare,0.8
Hunt stag,0.0
Hunt stag,1.0
Hunt stag,1.0
